Model,Price,Rating,Spec Score,Sim,Processor,RAM,Battery,Display,Camera,Card,OS
Vivo X80 Pro 5G,"₹79,999",4.15,88,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",4700 mAh Battery with 80W Fast Charging,"6.78 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP Quad Rear & 32 MP Front Camera,Memory Card Not Supported,Android v12
OPPO Reno7 5G,"₹24,999",4.15,83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 900, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",4500 mAh Battery with 65W Fast Charging,"6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v11
Xiaomi Mi 11X 5G (8GB RAM + 128GB),"₹34,999",4.3,81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",4520 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",48 MP + 8 MP + 5 MP Triple Rear & 20 MP Front Camera,Android v11,No FM Radio
OnePlus 9R (12GB RAM + 256GB),"₹30,066",4.1,86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 870, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",4500 mAh Battery with 65W Fast Charging,"6.55 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",48 MP Quad Rear & 16 MP Front Camera,Memory Card Not Supported,Android v11
Motorola Moto G60,"₹17,999",4.5,82,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","Snapdragon  732G, Octa Core, 2.3 GHz Processor","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 20W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v11
Realme C20,"₹6,999",4.45,58,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G35, Octa Core, 2.3 GHz Processor","2 GB RAM, 32 GB inbuilt",5000 mAh Battery,"6.5 inches, 1600 x 720 px Display with Water Drop Notch",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 256 GB",Android v10
OnePlus 9,"₹22,999",4.3,84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 888, Octa Core, 2.84 GHz Processor","8 GB RAM, 128 GB inbuilt",4500 mAh Battery with Fast Charging,"6.55 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Not Supported,Android v11
OnePlus 8T (12GB RAM + 256GB),"₹24,799",4,84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 865, Octa Core, 2.84 GHz Processor","12 GB RAM, 256 GB inbuilt",4500 mAh Battery with 65W Fast Charging,"6.55 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",48 MP Quad Rear & 16 MP Front Camera,Memory Card Not Supported,Android v11
Xiaomi Redmi Note 9,"₹8,999",4.05,74,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Helio G85, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",5020 mAh Battery with 22.5W Fast Charging,"6.53 inches, 1080 x 2340 px Display with Punch Hole",48 MP Quad Rear & 13 MP Front Camera,"Memory Card Supported, upto 512 GB",Android v10.0
Xiaomi Redmi Note 8 (6GB RAM + 128GB),"₹12,999",4.25,76,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 665, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt",4000 mAh Battery with 18W Fast Charging,"6.3 inches, 1080 x 2280 px Display with Water Drop Notch",48 MP Quad Rear & 13 MP Front Camera,"Memory Card Supported, upto 512 GB",Android v9.0 (Pie)
Xiaomi Redmi Note 8 Pro,"₹9,999",4.2,76,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Helio  G90T, Octa Core, 2.05 GHz Processor","6 GB RAM, 64 GB inbuilt",4500 mAh Battery with 18W Fast Charging,"6.53 inches, 1080 x 2340 px Display with Water Drop Notch",64 MP Quad Rear & 20 MP Front Camera,"Memory Card Supported, upto 512 GB",Android v9.0 (Pie)
Xiaomi Redmi Note 4,"₹6,999",4.15,64,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Qualcomm Snapdragon 625, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",4100 mAh Battery,"5.5 inches, 1080 x 1920 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 128 GB",Android v6.0 (Marshmallow)
BlackBerry Q5,"₹14,999",4.15,47,"Single Sim, 3G, 4G, Wi-Fi, NFC","Dual Core, 1.2 GHz Processor","2 GB RAM, 8 GB inbuilt",2180 mAh Battery,"3.1 inches, 720 x 720 px Display",5 MP Rear & 2 MP Front Camera,"Memory Card Supported, upto 32 GB",Blackberry OS v10
itel Zeno 20 Max,"₹6,575",4.3,55,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","UNISOC T7100, Octa Core Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.6 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP Dual Rear & 5 MP Front Camera,Memory Card Supported,Android v14
Realme 16 Pro Plus 5G (12GB RAM + 512GB),"₹51,999",4.75,92,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","12 GB RAM, 512 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16,No FM Radio
Realme 16 Pro 5G (12GB RAM + 256GB),"₹36,999",4.2,79,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Max, Octa Core Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 50 MP Front Camera,Memory Card Not Supported,Android v16
Realme 16 Pro 5G (8GB RAM + 256GB),"₹33,999",4.2,78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Max, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 50 MP Front Camera,Memory Card Not Supported,Android v16
Peace Nova 16 Pro 4G,"₹6,999",4.65,53,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.7 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery,"6.56 inches, 1640 x 720 px Display",20 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 128 GB",No FM Radio
HMD 100,₹899,4.5,9,Dual Sim,Unisoc 6533G,"8 MB RAM, 4 MB inbuilt",800 mAh Battery with 2.75W Fast Charging,"1.77 inches, 160 x 128 px Display",No Rear Camera,S30+​,N/A
Realme 16 Pro Plus 5G (8GB+256GB),"₹41,999",4.2,90,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16,No FM Radio
Realme 16 Pro Plus 5G (12GB+256GB),"₹44,999",4.4,91,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v16,No FM Radio
MTR M16 Pro,"₹4,600",4.3,29,"Dual Sim, 3G, 4G, Wi-Fi","Helio, 512 MHz Processor","3 GB RAM, 32 MB inbuilt",2000 mAh Battery,"4 inches, 480 x 640 px Display with Punch Hole",5 MP Rear Camera,Android v13.0,Bluetooth
Peace Nova 11 4G,"₹5,899",4.65,42,"Dual Sim, 3G, 4G, Wi-Fi",Helio 6739,"4 GB RAM, 64 GB inbuilt",2000 mAh Battery,6.56 inches Display,20 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 128 GB",No FM Radio
Peace Honor 10,"₹5,599",4.7,38,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt",3000 mAh Battery,"4.5 inches, 412 x 960 px Display",8 MP Rear Camera,Android v14.0,No FM Radio
iKall Z10 4G 2025,"₹6,449",4,61,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",4000 mAh Battery,"6.53 inches, 720 x 1600 px Display",20 MP Rear & 8 MP Front Camera,Memory Card (Hybrid),Android v14
Lava Shark 5G (4GB RAM + 128GB),"₹8,998",4.65,60,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T765, Octa Core Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v15
Peace Honor 30,"₹5,599",4.4,39,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt",3000 mAh Battery,"4.5 inches, 412 x 960 px Display",8 MP Rear & 5 MP Front Camera,Android v14.0,No FM Radio
Peace Mini 5,"₹4,199",4.5,37,"Dual Sim, 3G, 4G, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"3.75 inches, 412 x 960 px Display",8 MP Rear Camera,Android v12,No FM Radio
itel A90 Limited,"₹6,499",4.4,57,"Dual Sim, 3G, 4G, Wi-Fi","Unisoc T7100, Octa Core, 1.8 GHz Processor","3 GB RAM, 64 GB inbuilt",5000 mAh Battery with Fast Charging,"6.6 inches, 720 x 1612 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14
Lava Bold N1 Lite,"₹5,999",4.45,57,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",Octa Core Processor,"3 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px Display with Water Drop Notch",13 MP Rear & 5 MP Front Camera,Memory Card Supported,Android v15
Oppo Reno 14 5G Diwali Edition,"₹42,999",4.55,87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,No FM Radio
HMD 101 4G,"₹1,849",4.75,12,"Dual Sim, 4G",Unisoc 8910 FF-S,1000 mAh Battery,2 inches Display,No Rear Camera,"Memory Card Supported, upto 32 GB",S30+​,Bluetooth
Apple iPhone 17 Pro (1TB),"₹1,74,900",4.3,83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Apple A19 Pro, Hexa Core Processor","12 GB RAM, 1 TB inbuilt",3988 mAh Battery with Fast Charging,"6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island",48 MP + 48 MP + 48 MP Triple Rear & 18 MP Front Camera,Memory Card Not Supported,iOS v26
Apple iPhone Air (512GB),"₹1,19,000",4.6,78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Apple A19 Pro, Hexa Core Processor","8 GB RAM, 512 GB inbuilt",3149 mAh Battery with Fast Charging,"6.5 inches, 1260 x 2736 px Display with Dynamic Island",48 MP Rear & 18 MP Front Camera,Memory Card Not Supported,iOS v26
Apple iPhone Air (1TB),"₹1,38,890",4.4,78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Apple A19 Pro, Hexa Core Processor","8 GB RAM, 1 TB inbuilt",3149 mAh Battery with Fast Charging,"6.5 inches, 1260 x 2736 px Display with Dynamic Island",48 MP Rear & 18 MP Front Camera,Memory Card Not Supported,iOS v26
MOTOROLA Razr 60 (Swarovski),"₹54,999",4.7,89,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7400X, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",4500 mAh Battery with 30W Fast Charging,"6.9 inches, 1080 x 2640 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Memory Card Not Supported
Xiaomi Redmi Note 15 5G (256GB),"₹24,999",4.6,86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 6 Gen3, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5520 mAh Battery with 45W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",108 MP + 8 MP Dual Rear & 20 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15
Infinix GT 30 5G (8GB RAM+ 256GB),"₹20,999",4.1,80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1224 x 2720 px, 144 Hz Display with Punch Hole",64 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v15,Bluetooth
Realme 15 5G (12GB RAM + 256GB),"₹27,999",4.55,75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Plus, Octa Core Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,No FM Radio
LAVA Blaze Dragon 5G,"₹9,998",4.15,71,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.74 inches, 720 x 1612 px, 120 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 512 GB",Android v15
Samsung Galaxy Z Flip 7 5G (12GB RAM+512GB),"₹1,21,999",4.1,91,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2500, Deca Core, 3.3 GHz Processor","12 GB RAM, 512 GB inbuilt",4300 mAh Battery with 25W Fast Charging,"6.9 inches, 1080 x 2520 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 12 MP Dual Rear & 10 MP Front Camera,Memory Card Not Supported
BlackZone Miniature Phone,"₹4,499",4.75,47,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio MT6737, Octa Core, 1.25 GHz Processor","3 GB RAM, 16 GB inbuilt",2000 mAh Battery with Fast Charging,"3 inches, 480 x 854 px Display",8 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 128 GB",Android v10.1
Realme C73 (4GB RAM + 128GB),"₹12,499",4.65,71,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v15
Realme GT 7T (12GB RAM + 512GB),"₹40,999",4.3,87,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 8400-MAX, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt",7000 mAh Battery with 120W Fast Charging,"6.8 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15
Alcatel V3 Ultra (8GB RAM + 128GB),"₹18,999",4.3,85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5010 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v14
Acer Super ZX 5G  (6GB RAM + 128GB),"₹12,999",4.45,74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.8 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,Bluetooth
itel A95 5G (6GB RAM + 128GB),"₹10,626",4.35,72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Memory Card Supported,Android v14
Lava Shark 5G,"₹8,499",4.15,58,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T765, Octa Core Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v15
Samsung Galaxy S25 Edge (12GB RAM + 512GB),"₹1,01,999",4.1,89,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor","12 GB RAM, 512 GB inbuilt",3900 mAh Battery with 25W Fast Charging,"6.7 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP + 12 MP Dual Rear & 12 MP Front Camera,Android v15,No FM Radio
Realme P1 Speed 5G (8GB RAM + 256GB),"₹17,999",4.25,81,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v14
Motorola Moto A200,"₹1,149",4.05,9,Dual Sim,"56 MB RAM, 36 MB inbuilt",800 mAh Battery,"1.77 inches, 128 x 160 px Display",No Rear Camera,"Memory Card Supported, upto 64 GB",N/A,N/A
Samsung Galaxy A26 (6GB RAM + 128GB),"₹23,499",4.1,80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v15
iKall I7 4G,"₹1,549",4.35,32,"Dual Sim, 3G, 4G, Wi-Fi",512 MHz Processor,"2 GB RAM, 16 GB inbuilt",2000 mAh Battery,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,Memory Card Supported,Bluetooth
Vivo Y19 5G (4GB RAM + 128GB),"₹11,499",4.45,68,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5500 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v15
Acer Super ZX,"₹11,999",4.3,72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.8 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,Bluetooth
itel Zeno 5G,"₹9,999",4.65,70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1612 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14
Lava Bold 5G,"₹16,999",4.1,74,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 16 MP Front Camera,Memory Card (Hybrid),Android v14
Vivo Y39 5G (8GB RAM + 256GB),"₹18,999",4.55,74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1608 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Not Supported,Android v15
Lava Shark,"₹7,099",4.1,67,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Unisoc T606, Octa Core, 1.6 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1612 px, 120 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB",Android v14
Oppo F29 (8GB RAM + 256GB),"₹23,999",4.75,77,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 45W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15,No FM Radio
Snexian Bravo 4G,"₹1,599",4,14,"Dual Sim, 4G, VoLTE",1.77 MHz Processor,"32 MB RAM, 32 MB inbuilt",3000 mAh Battery,"2.8 inches, 320 x 240 px Display",1.3 MP Rear Camera,Memory Card (Hybrid),v30
Lava Action 4G,"₹1,599",4.45,17,"Dual Sim, 3G, 4G, VoLTE",1000 mAh Battery,"1.8 inches, 240 x 260 px Display",0.3 MP Rear Camera,Memory Card Supported,Bluetooth,N/A,N/A
HMD 130 Music (2025),"₹1,749",4.55,15,Dual Sim,Unisoc 6531F,"8 MB RAM, 8 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",No Rear Camera,"Memory Card Supported, upto 32 GB",S30+​
Apple iPhone 16e (256GB),"₹61,790",4.3,84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A18, Hexa Core, 4.04 GHz Processor","8 GB RAM, 256 GB inbuilt",4005 mAh Battery with Fast Charging,"6.1 inches, 1170 x 2532 px Display with Small Notch",48 MP Rear & 12 MP Front Camera,Memory Card Not Supported,iOS v18
Samsung Galaxy S25 (12GB RAM + 512GB),"₹92,999",4.2,87,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor","12 GB RAM, 512 GB inbuilt",4000 mAh Battery with 25W Fast Charging,"6.2 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,Android v15,No FM Radio
Realme 14 Pro 5G (8GB RAM + 256GB),"₹26,999",4.45,80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Energy, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15,No FM Radio
Infinix Smart 9 HD,"₹6,699",4.1,65,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Helio G50, Octa Core, 2.2 GHz Processor","3 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.7 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14
Vivo Y29 5G (8GB RAM+256GB),"₹18,999",4.55,78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1608 px, 120 Hz Display with Punch Hole",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
Vivo Y29 5G (8GB RAM+128GB),"₹16,999",4.55,77,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1608 px, 120 Hz Display with Punch Hole",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
Lava O3 (3GB RAM + 64GB),"₹5,799",4.65,55,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",Octa Core Processor,"3 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 1600 x 720 px Display with Water Drop Notch",13 MP Dual Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14
BlackZone WINX 4G Plus,"₹3,299",4.25,42,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Quad Core, 1 GHz Processor","3 GB RAM, 16 GB inbuilt",3000 mAh Battery,"2.8 inches, 480 x 640 px Display",5 MP Rear & 2 MP Front Camera,"Memory Card Supported, upto 64 GB",Android v11
